fileName,Ranked1,Ranked2,Ranked3,IL/Ins
poi-2.5(2.0).csv,-200.0,-200.0,-1.0,0.6957928802588996
"poi-3.0(2.5,2.0).csv",-1.0,-200.0,-2.0,0.660377358490566
poi-3.0(2.5).csv,-2.0,-3.0,2.0,0.631578947368421
xalan-2.6(2.5).csv,0.0,-1.0,1.0,0.5879265091863517
"xalan-2.7(2.6,2.5).csv",0.0,0.0,0.0,0.5675015271838729
xalan-2.7(2.6).csv,0.0,0.0,-1.0,0.5497142857142857
"poi-3.0(2.5,2.0,1.5).csv",-1.0,-1.0,2.0,0.5454545454545454
"xalan-2.7(2.6,2.5,2.4).csv",0.0,0.0,-200.0,0.5430177258971033
"xalan-2.6(2.5,2.4).csv",0.0,-1.0,-2.0,0.53894297635605
"poi-2.5(2.0,1.5).csv",-200.0,0.0,2.0,0.4852941176470588
xalan-2.5(2.4).csv,0.0,-2.0,-200.0,0.48372781065088755
xerces-1.4(1.3).csv,-200.0,-200.0,-200.0,0.4700665188470067
log4j-1.2(1.1).csv,-1.0,-1.0,-1.0,0.46601941747572817
"xerces-1.4(1.3,1.2).csv",-1.0,-200.0,-200.0,0.41169853768278963
"log4j-1.2(1.1,1.0).csv",0.0,0.0,-200.0,0.39908256880733944
lucene-2.4(2.2).csv,-2.0,0.0,2.0,0.3803418803418803
velocity-1.6(1.5).csv,-1.0,-200.0,-2.0,0.37850467289719625
"xerces-1.4(1.3,1.2,0.init).csv",0.0,-200.0,-200.0,0.3720266412940057
"lucene-2.4(2.2,2.0).csv",-200.0,1.0,1.0,0.37142857142857144
lucene-2.2(2.0).csv,-200.0,1.0,1.0,0.3602150537634409
xerces-1.3(1.2).csv,0.0,-2.0,-2.0,0.3515981735159817
log4j-1.1(1.0).csv,0.0,0.0,0.0,0.3391304347826087
"xerces-1.3(1.2,0.init).csv",-1.0,-200.0,-1.0,0.29833333333333334
"velocity-1.6(1.5,1.4).csv",-1.0,1.0,-200.0,0.2982885085574572
velocity-1.5(1.4).csv,0.0,-1.0,-1.0,0.21025641025641026
poi-2.0(1.5).csv,-3.0,-1.0,-200.0,0.20851063829787234
xerces-1.2(0.init).csv,-2.0,-3.0,-200.0,0.15432098765432098
camel-1.6(1.4).csv,-200.0,1.0,-200.0,0.14625445897740785
"camel-1.6(1.4,1.2).csv",-200.0,1.0,-200.0,0.143256464011181
camel-1.4(1.2).csv,0.0,-1.0,1.0,0.13898305084745763
"camel-1.6(1.4,1.2,1.0).csv",0.0,0.0,-2.0,0.13163841807909604
"camel-1.4(1.2,1.0).csv",-200.0,-200.0,2.0,0.11840688912809473
synapse-1.2(1.1).csv,0.0,0.0,-200.0,0.09009009009009009
camel-1.2(1.0).csv,-1.0,1.0,0.0,0.08259587020648967
"synapse-1.2(1.1,1.0).csv",0.0,0.0,0.0,0.079155672823219
synapse-1.1(1.0).csv,0.0,0.0,0.0,0.06369426751592357
jedit-4.1(4.0).csv,0.0,0.0,-200.0,0.06143344709897611
"jedit-4.2(4.1,4.0).csv",0.0,0.0,0.0,0.05396290050590219
ant-1.5(1.4).csv,0.0,-1.0,1.0,0.05084745762711865
"ant-1.6(1.5,1.4).csv",0.0,0.0,0.0,0.04925053533190578
ant-1.6(1.5).csv,0.0,0.0,0.0,0.04827586206896552
"jedit-4.1(4.0,3.2).csv",0.0,-200.0,1.0,0.04710144927536232
"jedit-4.2(4.1,4.0,3.2).csv",-200.0,1.0,1.0,0.046948356807511735
jedit-4.2(4.1).csv,0.0,-200.0,1.0,0.04666666666666667
"ant-1.7(1.6,1.5,1.4).csv",0.0,-1.0,1.0,0.042839657282741736
"ant-1.6(1.5,1.4,1.3).csv",0.0,0.0,0.0,0.04230118443316413
"ant-1.7(1.6,1.5).csv",0.0,0.0,0.0,0.040625
"ant-1.7(1.6,1.5,1.4,1.3).csv",0.0,0.0,0.0,0.039319872476089264
pbeans-2.0(1.0).csv,0.0,0.0,0.0,0.038461538461538464
"ant-1.5(1.4,1.3).csv",0.0,0.0,0.0,0.036544850498338874
"jedit-4.3(4.2,4.1,4.0).csv",-200.0,1.0,1.0,0.03481012658227848
ant-1.7(1.6).csv,0.0,0.0,-1.0,0.03428571428571429
"jedit-4.3(4.2,4.1,4.0,3.2).csv",0.0,0.0,0.0,0.03396851698425849
jedit-4.0(3.2).csv,0.0,0.0,0.0,0.03088803088803089
"jedit-4.3(4.2,4.1).csv",0.0,0.0,-200.0,0.022900763358778626
ant-1.4(1.3).csv,0.0,0.0,0.0,0.016129032258064516
jedit-4.3(4.2).csv,0.0,-200.0,0.0,0.0028169014084507044
